,iso2,year,variable,value
0,AD,1989,new_sp,
1,AD,1990,new_sp,
2,AD,1991,new_sp,
3,AD,1992,new_sp,
4,AD,1993,new_sp,15.0
5,AD,1994,new_sp,24.0
6,AD,1996,new_sp,8.0
7,AD,1997,new_sp,17.0
8,AD,1998,new_sp,1.0
9,AD,1999,new_sp,4.0
10,AD,2000,new_sp,1.0
11,AD,2001,new_sp,3.0
12,AD,2002,new_sp,2.0
13,AD,2003,new_sp,7.0
14,AD,2004,new_sp,3.0
15,AD,2005,new_sp,5.0
16,AD,2006,new_sp,8.0
17,AD,2007,new_sp,2.0
18,AD,2008,new_sp,3.0
19,AE,1980,new_sp,
20,AE,1981,new_sp,
21,AE,1982,new_sp,
22,AE,1983,new_sp,
23,AE,1984,new_sp,
24,AE,1985,new_sp,
25,AE,1986,new_sp,
26,AE,1987,new_sp,
27,AE,1988,new_sp,
28,AE,1989,new_sp,
29,AE,1990,new_sp,
30,AE,1991,new_sp,
31,AE,1992,new_sp,
32,AE,1994,new_sp,
33,AE,1996,new_sp,
34,AE,1998,new_sp,
35,AE,1999,new_sp,31.0
36,AE,2000,new_sp,73.0
37,AE,2001,new_sp,69.0
38,AE,2002,new_sp,57.0
39,AE,2003,new_sp,77.0
40,AE,2004,new_sp,57.0
41,AE,2005,new_sp,62.0
42,AE,2006,new_sp,52.0
43,AE,2007,new_sp,56.0
44,AE,2008,new_sp,50.0
45,AF,1980,new_sp,
46,AF,1981,new_sp,
47,AF,1982,new_sp,
48,AF,1983,new_sp,
49,AF,1984,new_sp,
50,AF,1985,new_sp,
51,AF,1986,new_sp,
52,AF,1987,new_sp,
53,AF,1988,new_sp,
54,AF,1989,new_sp,
55,AF,1990,new_sp,
56,AF,1991,new_sp,
57,AF,1997,new_sp,618.0
58,AF,1998,new_sp,1833.0
59,AF,1999,new_sp,1669.0
60,AF,2000,new_sp,2892.0
61,AF,2001,new_sp,4639.0
62,AF,2002,new_sp,6509.0
63,AF,2003,new_sp,6510.0
64,AF,2004,new_sp,8273.0
65,AF,2005,new_sp,9949.0
66,AF,2006,new_sp,12468.0
67,AF,2007,new_sp,13213.0
68,AF,2008,new_sp,13136.0
69,AG,1980,new_sp,
70,AG,1981,new_sp,
71,AG,1982,new_sp,
72,AG,1983,new_sp,
73,AG,1984,new_sp,
74,AG,1985,new_sp,
75,AG,1986,new_sp,
76,AG,1987,new_sp,
77,AG,1988,new_sp,
78,AG,1989,new_sp,
79,AG,1990,new_sp,
80,AG,1991,new_sp,
81,AG,1992,new_sp,
82,AG,1995,new_sp,
83,AG,1996,new_sp,2.0
84,AG,1997,new_sp,
85,AG,1998,new_sp,
86,AG,1999,new_sp,1.0
87,AG,2000,new_sp,3.0
88,AG,2001,new_sp,1.0
89,AG,2002,new_sp,2.0
90,AG,2003,new_sp,1.0
91,AG,2004,new_sp,
92,AG,2005,new_sp,6.0
93,AG,2006,new_sp,4.0
94,AG,2007,new_sp,2.0
95,AG,2008,new_sp,1.0
96,AI,1980,new_sp,
97,AI,1981,new_sp,
98,AI,1982,new_sp,
99,AI,1983,new_sp,
100,AI,1984,new_sp,
101,AI,1985,new_sp,
102,AI,1986,new_sp,
103,AI,1987,new_sp,
104,AI,1988,new_sp,
105,AI,1989,new_sp,
106,AI,1990,new_sp,
107,AI,1991,new_sp,
108,AI,1992,new_sp,
109,AI,1995,new_sp,0.0
110,AI,1997,new_sp,0.0
111,AI,2001,new_sp,0.0
112,AI,2002,new_sp,0.0
113,AI,2003,new_sp,
114,AI,2004,new_sp,0.0
115,AI,2006,new_sp,0.0
116,AI,2007,new_sp,0.0
117,AI,2008,new_sp,
118,AL,1980,new_sp,
119,AL,1981,new_sp,
120,AL,1982,new_sp,
121,AL,1983,new_sp,
122,AL,1984,new_sp,
123,AL,1985,new_sp,
124,AL,1986,new_sp,
125,AL,1987,new_sp,
126,AL,1988,new_sp,
127,AL,1989,new_sp,
128,AL,1990,new_sp,
129,AL,1991,new_sp,
130,AL,1994,new_sp,250.0
131,AL,1995,new_sp,139.0
132,AL,1996,new_sp,173.0
133,AL,1997,new_sp,241.0
134,AL,1998,new_sp,212.0
135,AL,1999,new_sp,168.0
136,AL,2000,new_sp,171.0
137,AL,2001,new_sp,171.0
138,AL,2002,new_sp,225.0
139,AL,2003,new_sp,211.0
140,AL,2004,new_sp,201.0
141,AL,2005,new_sp,196.0
142,AL,2006,new_sp,186.0
143,AL,2007,new_sp,165.0
144,AL,2008,new_sp,170.0
145,AM,1980,new_sp,
146,AM,1981,new_sp,
147,AM,1982,new_sp,
148,AM,1983,new_sp,
149,AM,1984,new_sp,
150,AM,1985,new_sp,
151,AM,1986,new_sp,
152,AM,1987,new_sp,
153,AM,1988,new_sp,
154,AM,1989,new_sp,
155,AM,1990,new_sp,
156,AM,1991,new_sp,
157,AM,1992,new_sp,
158,AM,1993,new_sp,
159,AM,1994,new_sp,319.0
160,AM,1995,new_sp,436.0
161,AM,1996,new_sp,327.0
162,AM,1997,new_sp,400.0
163,AM,1998,new_sp,475.0
164,AM,1999,new_sp,576.0
165,AM,2000,new_sp,621.0
166,AM,2001,new_sp,572.0
167,AM,2002,new_sp,511.0
168,AM,2003,new_sp,575.0
169,AM,2004,new_sp,602.0
170,AM,2005,new_sp,581.0
171,AM,2006,new_sp,580.0
172,AM,2007,new_sp,497.0
173,AM,2008,new_sp,487.0
174,AN,1996,new_sp,3.0
175,AN,1997,new_sp,5.0
176,AN,1998,new_sp,6.0
177,AN,1999,new_sp,2.0
178,AN,2000,new_sp,2.0
179,AN,2001,new_sp,7.0
180,AN,2002,new_sp,9.0
181,AN,2003,new_sp,4.0
182,AN,2004,new_sp,8.0
183,AN,2005,new_sp,
184,AN,2006,new_sp,5.0
185,AN,2007,new_sp,
186,AN,2008,new_sp,
187,AO,1980,new_sp,
188,AO,1981,new_sp,
189,AO,1982,new_sp,
190,AO,1983,new_sp,
191,AO,1984,new_sp,
192,AO,1985,new_sp,
193,AO,1986,new_sp,
194,AO,1987,new_sp,
195,AO,1988,new_sp,
196,AO,1989,new_sp,
197,AO,1990,new_sp,
198,AO,1991,new_sp,
199,AO,1992,new_sp,
200,AO,1993,new_sp,4874.0
201,AO,1994,new_sp,4337.0
202,AO,1995,new_sp,3804.0
203,AO,1996,new_sp,8016.0
204,AO,1997,new_sp,8246.0
205,AO,1998,new_sp,7333.0
206,AO,1999,new_sp,7379.0
207,AO,2000,new_sp,9053.0
208,AO,2001,new_sp,11923.0
209,AO,2002,new_sp,18087.0
210,AO,2003,new_sp,18971.0
211,AO,2004,new_sp,20301.0
212,AO,2005,new_sp,20410.0
213,AO,2006,new_sp,21499.0
214,AO,2007,new_sp,21422.0
215,AO,2008,new_sp,22562.0
216,AR,1980,new_sp,
217,AR,1981,new_sp,
218,AR,1982,new_sp,
219,AR,1983,new_sp,
220,AR,1984,new_sp,
221,AR,1985,new_sp,
222,AR,1986,new_sp,
223,AR,1987,new_sp,
224,AR,1988,new_sp,
225,AR,1989,new_sp,
226,AR,1990,new_sp,
227,AR,1991,new_sp,
228,AR,1992,new_sp,
229,AR,1993,new_sp,5937.0
230,AR,1994,new_sp,5696.0
231,AR,1995,new_sp,5698.0
232,AR,1996,new_sp,5787.0
233,AR,1997,new_sp,5307.0
234,AR,1998,new_sp,5186.0
235,AR,1999,new_sp,4830.0
236,AR,2000,new_sp,4749.0
237,AR,2001,new_sp,5595.0
238,AR,2002,new_sp,5498.0
239,AR,2003,new_sp,4961.0
240,AR,2004,new_sp,4760.0
241,AR,2005,new_sp,4709.0
242,AR,2006,new_sp,4834.0
243,AR,2007,new_sp,4985.0
244,AR,2008,new_sp,4758.0
245,AS,1980,new_sp,
246,AS,1981,new_sp,
247,AS,1982,new_sp,
248,AS,1983,new_sp,
249,AS,1984,new_sp,
250,AS,1985,new_sp,
251,AS,1986,new_sp,
252,AS,1987,new_sp,
253,AS,1988,new_sp,
254,AS,1989,new_sp,
255,AS,1990,new_sp,
256,AS,1991,new_sp,
257,AS,1992,new_sp,
258,AS,1993,new_sp,1.0
259,AS,1994,new_sp,4.0
260,AS,1995,new_sp,
261,AS,1996,new_sp,0.0
262,AS,1997,new_sp,6.0
263,AS,1998,new_sp,2.0
264,AS,1999,new_sp,3.0
265,AS,2000,new_sp,2.0
266,AS,2001,new_sp,2.0
267,AS,2002,new_sp,1.0
268,AS,2003,new_sp,2.0
269,AS,2004,new_sp,2.0
270,AS,2005,new_sp,3.0
271,AS,2006,new_sp,3.0
272,AS,2007,new_sp,0.0
273,AS,2008,new_sp,0.0
274,AT,1980,new_sp,
275,AT,1981,new_sp,
276,AT,1982,new_sp,
277,AT,1983,new_sp,
278,AT,1984,new_sp,
279,AT,1985,new_sp,
280,AT,1986,new_sp,
281,AT,1987,new_sp,
282,AT,1988,new_sp,
283,AT,1989,new_sp,
284,AT,1990,new_sp,
285,AT,1991,new_sp,
286,AT,1992,new_sp,
287,AT,1993,new_sp,
288,AT,1994,new_sp,
289,AT,1995,new_sp,467.0
290,AT,1996,new_sp,442.0
291,AT,1997,new_sp,434.0
292,AT,1998,new_sp,381.0
293,AT,1999,new_sp,323.0
294,AT,2000,new_sp,324.0
295,AT,2001,new_sp,262.0
296,AT,2002,new_sp,220.0
297,AT,2003,new_sp,269.0
298,AT,2004,new_sp,216.0
299,AT,2005,new_sp,234.0
300,AT,2006,new_sp,213.0
301,AT,2007,new_sp,189.0
302,AT,2008,new_sp,
303,AU,1980,new_sp,
304,AU,1981,new_sp,
305,AU,1982,new_sp,
306,AU,1983,new_sp,
307,AU,1984,new_sp,
308,AU,1985,new_sp,
309,AU,1986,new_sp,
310,AU,1987,new_sp,
311,AU,1988,new_sp,
